,sample_id,ground_truth,prediction
22,normal_0050,0,0.97622675_0.023773313
23,D08142364,1,4.0731928e-05_0.99995923
24,Z00309741,1,0.008248263_0.99175173
25,D01865359,1,0.010681351_0.98931867
26,normal_0039,0,0.96998525_0.03001473
27,normal_0354,0,0.9973851_0.002614875
28,Z00288756,1,0.00018544593_0.99981457
29,normal_0175,0,0.9979473_0.0020527747
30,normal_0034,0,0.9973889_0.0026111123
31,normal_3,0,0.94208515_0.057914834
0,Z00307452,1,0.03213016_0.9678698
1,normal_0193,0,0.98966587_0.010334111
2,normal_0093,0,0.9877659_0.012234105
3,D01812636,1,6.133073e-05_0.9999386
4,normal_0039,0,0.8865979_0.113402136
5,normal_0129,0,0.9182166_0.081783436
6,normal_0339,0,0.97542757_0.024572397
7,Z00281063,1,0.013865363_0.9861347
8,normal_0163,0,0.98823327_0.011766732
9,normal_5,0,0.7835178_0.21648219
10,normal_0115,0,0.9595047_0.040495265
11,normal_6,0,0.93758726_0.062412716
12,normal_0032,0,0.99880266_0.0011972762
13,normal_0075,0,0.9984547_0.0015453466
14,normal_0100,0,0.9752867_0.024713295
15,normal_0322,0,0.9977678_0.0022322054
16,normal_0384,0,0.95627075_0.04372919
17,D32185663,1,0.00016981328_0.9998301
18,normal_0090,0,0.812961_0.18703896
19,D05652748,1,0.00049260946_0.9995074
20,normal_0150,0,0.97029155_0.029708415
21,Z00369113,1,0.00017456463_0.9998254
22,normal_0354,0,0.9954763_0.0045237415
23,D30743879,1,4.0435858e-05_0.9999596
24,normal_0134,0,0.99664766_0.0033523764
25,normal_0171,0,0.9837373_0.016262785
26,Z00357569,1,0.001123936_0.99887604
27,normal_0133,0,0.94316757_0.056832433
28,normal_0359,0,0.97981185_0.02018821
29,D01812636,1,0.00027819455_0.9997218
30,normal_0096,0,0.99594814_0.004051894
31,normal_0332,0,0.97197163_0.028028369
0,normal_13,0,0.97585255_0.024147457
1,normal_0077,0,0.91105837_0.08894162
2,normal_0025,0,0.96328485_0.036715146
3,D0215927X,1,2.402328e-05_0.9999759
4,D08169364,1,0.00021571235_0.9997843
5,normal_0046,0,0.93694574_0.063054346
6,normal_0246,0,0.9992642_0.0007358614
7,normal_0435,0,0.9930536_0.0069463896
8,normal_0025,0,0.98600847_0.013991504
9,normal_0188,0,0.88452905_0.115470916
10,D28369865,1,4.068472e-05_0.99995935
11,normal_0093,0,0.9802382_0.019761765
12,normal_0097,0,0.96164376_0.038356245
13,normal_0203,0,0.9500774_0.049922552
14,normal_11,0,0.6445227_0.3554772
15,D30840695,1,0.016300535_0.98369944
16,normal_0199,0,0.95191014_0.048089895
17,normal_0107,0,0.9446283_0.055371754
18,normal_0183,0,0.99451053_0.005489454
19,normal_7,0,0.9268897_0.07311022
20,D30743879,1,7.917828e-05_0.99992085
21,normal_0132,0,0.99070007_0.009299903
22,normal_0349,0,0.99549687_0.004503086
23,normal_0127,0,0.9775955_0.022404544
24,Z00462671,1,0.0230952_0.97690475
25,normal_0061,0,0.99076813_0.009231848
26,Z00374375,1,0.0007644053_0.99923563
27,Z00270821,1,0.00083858124_0.9991615
28,normal_0332,0,0.93894976_0.061050247
29,normal_0114,0,0.9959621_0.004037878
30,normal_0087,0,0.9846444_0.015355554
31,normal_0041,0,0.96170133_0.03829866
0,Z00466613,1,0.03982909_0.9601709
1,normal_0004,0,0.9548719_0.04512806
2,T00174812,1,0.004898595_0.9951014
3,normal_0166,0,0.9807333_0.01926666
4,normal_0202,0,0.9819764_0.01802363
5,normal_0140,0,0.9852308_0.014769191
6,normal_0164,0,0.79256904_0.20743099
7,normal_0114,0,0.9969727_0.0030273458
8,Z00473126,1,0.00030061038_0.9996995
9,normal_0132,0,0.94398326_0.056016725
10,normal_0096,0,0.99952924_0.00047072323
11,normal_0080,0,0.91506577_0.0849343
12,D23805007,1,0.00019622718_0.99980384
13,Z00473126,1,0.0009946598_0.9990054
14,normal_1,0,0.9904704_0.009529571
15,normal_0349,0,0.9995254_0.000474619
16,normal_0325,0,0.9944892_0.005510824
17,normal_0221,0,0.8075813_0.19241865
18,normal_0129,0,0.98153263_0.018467346
19,normal_17,0,0.9963923_0.0036076992
20,normal_0004,0,0.94298714_0.05701292
21,normal_0166,0,0.9876935_0.012306552
22,normal_0046,0,0.9528768_0.047123224
23,normal_0212,0,0.9934609_0.006539122
24,normal_0081,0,0.9938891_0.006110887
25,80141547,1,2.1977581e-05_0.99997807
26,normal_0165,0,0.9948539_0.0051461426
27,Z00356022,1,0.00028926317_0.99971074
28,normal_0012,0,0.99481934_0.0051807305
29,D32172117,1,0.0001685608_0.99983144
30,Z00473126,1,0.0009042141_0.9990958
31,D02225257,1,0.00041943995_0.99958056
0,normal_0186,0,0.9954581_0.0045419144
1,Z00482791,1,0.006928185_0.99307185
2,normal_0177,0,0.99818414_0.001815886
3,normal_13,0,0.9370499_0.062950015
4,normal_9,0,0.9914997_0.008500332
5,normal_0146,0,0.9726906_0.027309416
6,normal_0359,0,0.99474007_0.0052599995
7,Z00473293,1,0.015415537_0.9845844
8,normal_10,0,0.98240525_0.01759481
9,normal_0144,0,0.97464925_0.025350768
10,D56116603,1,0.0045240656_0.99547595
11,normal_0159,0,0.9975561_0.0024438866
12,normal_0464,0,0.9978447_0.002155257
13,normal_0198,0,0.99602795_0.0039720563
14,normal_0408,0,0.9530368_0.046963245
15,normal_0246,0,0.99962413_0.00037583857
16,Z00383232,1,0.007140503_0.9928595
17,normal_13,0,0.97689056_0.023109423
18,normal_10,0,0.9901226_0.00987737
19,Z00318833,1,0.00016336341_0.99983656
20,normal_0123,0,0.99929607_0.0007039601
21,Z00472552,1,0.015667487_0.98433256
22,Z00383232,1,0.0033597797_0.9966402
23,Z00420210,1,0.0028574092_0.9971426
24,normal_0183,0,0.9982886_0.0017113806
25,80141547,1,0.0002122301_0.99978775
26,normal_0177,0,0.9968809_0.003119116
27,Z00307452,1,0.08425342_0.9157466
28,normal_0349,0,0.9957332_0.0042667855
29,Z00307452,1,0.012362796_0.98763716
30,HG0656782,1,0.000875761_0.9991242
31,D23830579,1,0.00055263855_0.9994474
0,normal_0349,0,0.9954595_0.004540479
1,normal_0180,0,0.9944687_0.0055312472
2,Z00270821,1,0.008877081_0.99112296
3,HG0359358,1,0.007829175_0.9921708
4,normal_0012,0,0.9983316_0.0016683579
5,normal_0186,0,0.9736963_0.026303701
6,normal_0041,0,0.99877554_0.001224462
7,Z00369113,1,0.00040653293_0.99959344
8,D30462145,1,0.0022524644_0.9977475
9,Z00408675,1,0.0005113203_0.9994887
10,normal_0085,0,0.9872953_0.012704718
11,D06114132,1,0.00033995972_0.99966
12,normal_0080,0,0.9824954_0.01750453
13,normal_0122,0,0.99519616_0.004803792
14,D30743879,1,0.00028984676_0.99971014
15,normal_0420,0,0.98736215_0.012637879
16,Z00472104,1,0.0027170905_0.99728286
17,normal_0183,0,0.99689686_0.0031031438
18,normal_0125,0,0.971686_0.02831395
19,normal_0057,0,0.99706584_0.0029342067
20,Z00398330,1,0.00026884887_0.9997311
21,normal_9,0,0.9633252_0.03667484
22,normal_0098,0,0.9870112_0.012988841
23,normal_0188,0,0.9861756_0.013824432
24,normal_0058,0,0.99642533_0.0035746116
25,normal_0332,0,0.9871149_0.012885123
26,D01909534,1,0.006145709_0.9938543
27,normal_0202,0,0.9806599_0.019340042
28,T00174812,1,0.00027601048_0.999724
29,normal_0203,0,0.99143535_0.008564625
30,normal_0188,0,0.9915849_0.008415107
31,D23830579,1,0.002554138_0.9974458
0,normal_0167,0,0.99881077_0.0011892641
1,Z00374375,1,0.0010502208_0.9989498
2,normal_0193,0,0.99512804_0.004871956
3,Z00419159,1,0.035154242_0.9648457
4,normal_0117,0,0.98060864_0.019391356
5,80146759,1,0.0025988629_0.9974011
6,normal_0325,0,0.99938345_0.0006165851
7,normal_0095,0,0.9936799_0.0063200607
8,80141547,1,2.0168529e-05_0.99997985
9,normal_0024,0,0.9942615_0.005738478
10,normal_0164,0,0.6022524_0.3977476
11,normal_0081,0,0.9764984_0.023501495
12,normal_0123,0,0.99858874_0.0014111807
13,Z00350398,1,0.0026790458_0.99732095
14,D01865359,1,0.060677856_0.9393222
15,normal_0167,0,0.99938_0.0006199958
16,normal_0140,0,0.9997929_0.00020712946
17,D02185144,1,0.00036872935_0.9996313
18,D31151840,1,0.03827282_0.9617272
19,Z00285163,1,0.0003484069_0.99965155
20,normal_0042,0,0.9950997_0.004900325
21,Z00408675,1,0.0021033168_0.9978967
22,normal_0174,0,0.9965643_0.003435698
23,D56116603,1,0.0034461168_0.9965539
24,normal_0148,0,0.99695754_0.0030424932
25,normal_0090,0,0.97645366_0.02354635
26,normal_0050,0,0.9428184_0.057181537
27,normal_0159,0,0.99234664_0.007653381
28,D23608580,1,0.03440886_0.9655912
29,normal_0073,0,0.99313724_0.006862734
30,D32172117,1,0.0033771838_0.9966228
31,normal_0025,0,0.98997796_0.010022088
0,D23830579,1,0.0012533274_0.99874663
1,D05652748,1,0.0002894317_0.9997105
2,Z00356022,1,0.002110495_0.99788946
3,D02098446,1,0.00014529469_0.9998547
4,W13591971,1,0.0046305317_0.9953695
5,D23805007,1,0.00020139822_0.9997986
6,normal_0196,0,0.9022636_0.09773643
7,Z00473631,1,0.014155269_0.98584473
8,normal_0127,0,0.9909367_0.009063359
9,normal_0127,0,0.9980591_0.0019408856
10,normal_0166,0,0.99603194_0.0039680856
11,D24291220,1,0.007388956_0.9926111
12,D30840695,1,0.029895363_0.9701046
13,normal_0046,0,0.9921187_0.007881291
14,normal_0183,0,0.99422187_0.0057780514
15,normal_0085,0,0.99911314_0.0008868174
16,normal_0349,0,0.9987723_0.0012277045
17,normal_0144,0,0.98065245_0.01934756
18,normal_0122,0,0.99856573_0.0014343346
19,D23608580,1,0.16309276_0.8369072
20,normal_0223,0,0.99155784_0.008442226
21,D05900297,1,0.022684338_0.97731566
22,Z00462671,1,0.13110173_0.8688983
23,normal_0118,0,0.98589504_0.014105038
24,normal_0165,0,0.9997595_0.00024045663
25,Z00466531,1,0.025815979_0.97418404
26,D01865359,1,0.014776006_0.985224
27,normal_0354,0,0.99797696_0.0020230794
28,normal_0098,0,0.99754983_0.0024501418
29,normal_0122,0,0.9967123_0.0032876953
30,normal_11,0,0.99048495_0.009515077
31,HG0411910,1,0.0070856013_0.99291444
0,normal_2,0,0.9938693_0.0061306995
1,Z00285163,1,0.0035419646_0.996458
2,Z00415455,1,0.010991586_0.98900837
3,normal_0075,0,0.99672383_0.00327614
4,Z00374375,1,0.08762255_0.9123774
5,normal_0083,0,0.9986633_0.001336635
6,Z00358778,1,0.04258436_0.95741564
7,normal_0140,0,0.9995233_0.00047677537
8,normal_0100,0,0.9923407_0.0076593626
9,Z00473631,1,0.002751738_0.99724823
10,normal_11,0,0.9938763_0.006123663
11,D08142364,1,0.0009964007_0.9990036
12,normal_0030,0,0.9991394_0.00086049706
13,HG0775378,1,0.44648477_0.55351526
14,Z00473126,1,0.02538136_0.9746187
15,D02236386,1,0.018054955_0.98194504
16,normal_0164,0,0.9700964_0.029903542
17,normal_0057,0,0.9992867_0.0007132727
18,D05652748,1,0.007729176_0.9922708
19,normal_0050,0,0.9852378_0.014762247
20,normal_0413,0,0.99988854_0.000111432484
21,D06114132,1,0.004438087_0.99556196
22,D08142364,1,0.0024866466_0.9975133
23,D05652748,1,0.014976701_0.98502326
24,D24261507,1,0.014766117_0.98523384
25,normal_0150,0,0.9943224_0.005677596
26,normal_0061,0,0.99561137_0.00438867
27,normal_0123,0,0.99995077_4.9171653e-05
28,Z00285163,1,0.0041750986_0.99582493
29,normal_0332,0,0.9790886_0.020911338
30,Z00285163,1,0.022237882_0.97776204
31,normal_12,0,0.9781691_0.021830877
0,normal_0145,0,0.99543864_0.0045613847
1,normal_0212,0,0.9957799_0.0042201425
2,D24291220,1,0.004847321_0.9951527
3,80139062,1,0.11793114_0.8820689
4,normal_0201,0,0.9991517_0.00084828277
5,normal_0183,0,0.99867165_0.001328386
6,normal_0175,0,0.99190277_0.008097176
7,normal_0448,0,0.9783745_0.021625504
8,D02225257,1,0.0010708857_0.9989291
9,Z00270821,1,0.018497847_0.9815021
10,normal_0163,0,0.9991602_0.00083983387
11,normal_0322,0,0.99942017_0.00057983137
12,normal_0095,0,0.9973074_0.0026925951
13,D32185663,1,0.00065286073_0.99934715
14,D32172117,1,0.030328725_0.9696713
15,Z00472552,1,0.031776648_0.9682234
16,normal_0133,0,0.9902085_0.009791483
17,Z00358778,1,0.0041755107_0.99582446
18,Z00358778,1,0.006293891_0.99370617
19,Z00369113,1,2.444057e-05_0.99997556
20,HG0359358,1,0.0042044255_0.9957956
21,Z00285163,1,0.002665163_0.9973348
22,Z00383232,1,0.034867037_0.965133
23,normal_0118,0,0.9863722_0.013627839
24,normal_0199,0,0.9743148_0.025685191
25,Z00285163,1,0.00076223403_0.9992378
26,normal_0148,0,0.9967159_0.0032841568
27,HG0411910,1,0.002176407_0.9978236
28,normal_0384,0,0.99869233_0.0013076388
29,normal_0198,0,0.9991423_0.0008576415
30,normal_0115,0,0.9994061_0.00059393625
31,normal_0061,0,0.9973701_0.002629905
0,Z00472552,1,0.0031643123_0.99683577
1,D29346032,1,0.002090028_0.99790996
2,Z00270821,1,0.0015212044_0.99847883
3,D32172117,1,0.006490348_0.9935096
4,normal_0101,0,0.9988752_0.0011247831
5,Z00408675,1,0.00019893031_0.9998011
6,normal_5,0,0.83894217_0.16105784
7,normal_0354,0,0.99943763_0.000562377
8,normal_0322,0,0.99920255_0.0007975006
9,normal_0132,0,0.9774091_0.022590907
10,normal_12,0,0.92657757_0.07342243
11,D29346032,1,0.001943827_0.9980562
12,normal_0122,0,0.99457514_0.0054248646
13,normal_17,0,0.97436327_0.025636716
14,normal_0101,0,0.9996923_0.00030774952
15,normal_0075,0,0.9979765_0.002023581
16,Z00464066,1,0.0010577051_0.9989423
17,T00174812,1,0.00063602836_0.99936396
18,normal_0073,0,0.98734504_0.012654894
19,Z00350398,1,0.0051771873_0.99482286
20,Z00466531,1,0.053431254_0.9465688
21,normal_0461,0,0.7264801_0.27351984
22,normal_0030,0,0.995673_0.0043269475
23,normal_0034,0,0.99644464_0.0035553086
24,normal_0095,0,0.9934436_0.0065563805
25,normal_6,0,0.98839414_0.01160587
26,normal_0061,0,0.99734205_0.0026579266
27,normal_4,0,0.84698534_0.15301464
28,Z00270821,1,0.00543746_0.99456257
29,Z00473293,1,0.0013740532_0.998626
30,normal_3,0,0.95688534_0.043114696
31,normal_0057,0,0.9959907_0.0040093064
0,W13591971,1,0.11290074_0.8870993
1,normal_0150,0,0.9984555_0.0015444638
2,normal_0144,0,0.9922959_0.007704023
3,D08169364,1,0.0005028503_0.9994972
4,D0215927X,1,0.013014474_0.9869855
5,Z00357569,1,0.003438197_0.9965618
6,normal_0420,0,0.99460816_0.005391797
7,normal_0107,0,0.9992976_0.0007023113
8,normal_0193,0,0.9937536_0.0062464047
9,D28369865,1,0.015845032_0.98415494
10,normal_0178,0,0.9904544_0.009545654
11,normal_0140,0,0.9991571_0.0008429194
12,D30743879,1,0.0018766777_0.99812335
13,normal_0012,0,0.99906796_0.00093212177
14,normal_0095,0,0.99443024_0.0055697695
15,Z00480584,1,0.0069686635_0.99303126
16,Z00466214,1,0.04753979_0.9524602
17,normal_16,0,0.9836821_0.016317878
18,80139062,1,0.0077383686_0.99226165
19,normal_0221,0,0.9542815_0.045718424
20,D24291220,1,0.040671363_0.9593286
21,normal_0339,0,0.99732363_0.0026762874
22,normal_0114,0,0.99971586_0.00028413438
23,normal_0081,0,0.995971_0.0040289615
24,D08169364,1,0.0021825854_0.9978174
25,normal_0100,0,0.99692494_0.0030751098
26,Z00420210,1,0.009247729_0.9907522
27,normal_0246,0,0.99961686_0.00038313874
28,D23672750,1,0.035084266_0.96491575
29,D02185144,1,0.0011336241_0.99886644
30,Z00356022,1,0.0007629974_0.99923706
31,normal_0012,0,0.99922216_0.00077785173
0,normal_0196,0,0.2302123_0.7697877
1,normal_0030,0,0.9990361_0.00096394453
2,normal_0093,0,0.97093564_0.029064365
3,HG0775378,1,0.0042954907_0.9957045
4,normal_0196,0,0.8563495_0.14365044
5,normal_0097,0,0.90517735_0.09482269
6,normal_0072,0,0.9727861_0.027213871
7,normal_0077,0,0.9765721_0.02342792
8,normal_0061,0,0.9866781_0.0133218635
9,normal_0177,0,0.9983089_0.0016910704
10,80140865,1,5.547348e-05_0.99994457
11,normal_0046,0,0.90869796_0.091302
12,normal_0039,0,0.5723451_0.4276549
13,normal_0384,0,0.9560822_0.043917835
14,normal_0175,0,0.8864016_0.11359842
15,normal_0044,0,0.9650846_0.034915358
16,normal_0435,0,0.99980193_0.0001980561
17,normal_0390,0,0.9990571_0.00094291207
18,normal_0461,0,0.59724736_0.40275267
19,normal_0125,0,0.6552431_0.34475687
20,D56116603,1,0.00023754104_0.9997625
21,normal_0121,0,0.69346935_0.30653068
22,normal_0413,0,0.9723681_0.027631853
23,D02098446,1,0.00072927744_0.99927074
24,normal_0168,0,0.7809971_0.21900289
25,D23608580,1,0.0003911783_0.9996088
26,Z00408675,1,0.00027760057_0.9997224
27,normal_0313,0,0.62044626_0.37955374
28,normal_0132,0,0.9404418_0.05955818
29,normal_0448,0,0.22623561_0.7737644
30,normal_0080,0,0.9639972_0.036002856
31,normal_5,0,0.7253863_0.2746137
0,normal_0223,0,0.9333609_0.0666391
1,normal_0146,0,0.90554094_0.094459064
2,normal_0420,0,0.9531814_0.046818674
3,normal_0171,0,0.98795545_0.012044589
4,normal_0013,0,0.8052355_0.19476445
5,Z00398330,1,0.00070748996_0.9992925
6,D29346032,1,0.004919417_0.9950806
7,normal_0122,0,0.9902658_0.009734206
8,normal_0408,0,0.9301389_0.06986111
9,Z00374375,1,0.00013301491_0.99986696
10,80146759,1,0.0020100467_0.99799
11,normal_0408,0,0.939525_0.06047505
12,normal_0058,0,0.90845263_0.091547415
13,normal_0041,0,0.9841069_0.015893081
14,normal_0464,0,0.9879782_0.012021773
15,normal_3,0,0.9499638_0.05003615
16,D0211686X,1,3.0792013e-05_0.99996924
17,normal_0095,0,0.99083966_0.009160391
18,normal_0192,0,0.97245944_0.027540613
19,normal_0032,0,0.99834347_0.0016564999
20,Z00466531,1,0.015053973_0.984946
21,normal_0435,0,0.9977691_0.002230872
22,normal_0464,0,0.99934715_0.00065278634
23,normal_0013,0,0.85367876_0.14632119
24,D24261507,1,0.010599272_0.9894007
25,Z00398330,1,4.8340567e-05_0.9999516
26,normal_0390,0,0.9998667_0.00013329413
27,normal_0178,0,0.9974657_0.0025342153
28,normal_0435,0,0.9936247_0.0063753077
29,D02236386,1,0.00026848205_0.9997315
30,normal_0325,0,0.9888575_0.011142522
31,normal_0390,0,0.9959369_0.0040631467
0,Z00480052,1,0.00013669547_0.99986327
1,normal_0088,0,0.9968832_0.0031167446
2,normal_0125,0,0.99183536_0.008164654
3,D30462145,1,0.0010434701_0.99895656
4,normal_17,0,0.9912469_0.008753097
5,normal_0448,0,0.9417668_0.058233213
6,Z00318833,1,4.4612738e-05_0.9999554
7,normal_0097,0,0.97370607_0.026293969
8,D01812636,1,0.006992085_0.9930079
9,80139062,1,0.014166505_0.98583347
10,normal_0311,0,0.95837736_0.041622628
11,normal_0115,0,0.9990177_0.0009822878
12,normal_0117,0,0.97156954_0.028430501
13,normal_0077,0,0.9987814_0.0012186088
14,normal_0046,0,0.96443486_0.035565097
15,normal_0221,0,0.9346605_0.06533953
16,D01812636,1,0.00038680295_0.9996132
17,Z00420210,1,0.02372364_0.9762764
18,Z00466613,1,0.14828758_0.85171247
19,Z00318833,1,9.042272e-05_0.9999095
20,D02236386,1,0.00024618732_0.9997538
21,normal_0072,0,0.9907917_0.009208388
22,normal_0188,0,0.9784857_0.021514237
23,normal_0107,0,0.9870682_0.012931789
24,normal_0354,0,0.9991792_0.0008207834
25,normal_0097,0,0.9835805_0.016419474
26,D06114132,1,0.00041273632_0.99958724
27,normal_0148,0,0.9947865_0.005213422
28,normal_3,0,0.88821584_0.11178415
29,normal_0359,0,0.99883825_0.001161728
30,D05652748,1,0.0002964745_0.99970347
31,normal_0166,0,0.99899024_0.0010097076
0,normal_0129,0,0.95233256_0.04766747
1,HG0411910,1,0.0008846291_0.9991154
2,normal_0117,0,0.91667867_0.08332138
3,normal_0100,0,0.9503946_0.049605444
4,normal_0085,0,0.98436916_0.015630797
5,normal_0167,0,0.99983525_0.00016475946
6,80140865,1,0.006269573_0.9937304
7,normal_0390,0,0.99989915_0.000100898185
8,Z00466613,1,0.1743767_0.82562333
9,normal_10,0,0.9532425_0.04675755
10,Z00464066,1,0.002658058_0.99734193
11,normal_0178,0,0.99163705_0.008362977
12,Z00350398,1,0.023960358_0.97603965
13,normal_0024,0,0.9921273_0.007872642
14,normal_0098,0,0.9963439_0.0036560753
15,D30470065,1,0.0051181857_0.99488187
16,D28781577,1,0.0003253732_0.9996747
17,normal_0081,0,0.95997566_0.040024314
18,D02185144,1,0.0013054394_0.9986946
19,normal_0095,0,0.9938154_0.00618462
20,normal_9,0,0.9062343_0.0937657
21,Z00305664,1,0.0006566976_0.99934334
22,normal_0165,0,0.9996437_0.00035634977
23,normal_0083,0,0.9992786_0.0007214194
24,normal_0339,0,0.98944116_0.010558795
25,normal_0174,0,0.9973169_0.0026830952
26,normal_0448,0,0.7860527_0.21394737
27,normal_0175,0,0.98956454_0.0104354555
28,D01812636,1,0.0010886323_0.9989114
29,normal_0032,0,0.9995726_0.00042742828
30,D06114132,1,1.8006052e-05_0.999982
31,80139062,1,0.008127511_0.9918725
0,Z00415455,1,0.002191981_0.99780804
1,normal_0201,0,0.9956066_0.004393379
2,normal_0107,0,0.99820817_0.0017918454
3,Z00398330,1,0.0018506082_0.9981494
4,normal_0121,0,0.97985667_0.02014328
5,D23805007,1,0.010896494_0.98910356
6,HG0640457,1,0.0013260035_0.99867404
7,normal_0012,0,0.9979539_0.0020461075
8,Z00309741,1,0.022630276_0.9773697
9,D28781577,1,0.002542649_0.9974573
10,normal_0203,0,0.9914972_0.008502793
11,Z00464066,1,0.0049348865_0.99506515
12,normal_0144,0,0.99253124_0.007468751
13,HG0359358,1,0.015971221_0.98402876
14,Z00473293,1,0.0031429122_0.99685705
15,normal_0413,0,0.9982445_0.0017555268
16,D23830579,1,0.0017367144_0.9982633
17,Z00464066,1,0.025198266_0.9748018
18,normal_0064,0,0.9997558_0.00024425657
19,normal_0464,0,0.9988864_0.0011135702
20,normal_0168,0,0.97700226_0.022997739
21,normal_0101,0,0.9989843_0.0010157612
22,Z00305664,1,0.00868921_0.99131083
23,normal_0221,0,0.7763425_0.22365749
24,normal_0193,0,0.9925182_0.0074818097
25,normal_0024,0,0.9962817_0.0037183156
26,normal_12,0,0.9267897_0.07321029
27,normal_0322,0,0.9997571_0.0002429332
28,normal_0064,0,0.99290776_0.007092284
29,D24261507,1,0.0006474985_0.9993525
30,Z00473293,1,0.12798525_0.8720148
31,Z00482791,1,0.00783188_0.9921681
